subject,content,relation
自转速度,①线速度（由赤道向两极递减至0）,包含
自转速度,②角速度（除两极为0外，各地相等）,包含
自传周期,①恒星日（23h56m4s真正周期）,包含
自传周期,②太阳日（24时，昼夜更替周）,包含
自传意义,①昼夜更替,包含
自传意义,②不同经度不同的地方时,包含
自传意义,③水准运动物体的偏移（北右南左）,包含
晨昏线,沿自转方向，黑夜向白天过渡为晨线，白天向黑夜过渡为昏线（晨昏线上太阳高度角为0度）。,包含
晨昏线与经线,晨昏线与经线重合-----春秋分；晨昏线与经线交角最大----夏至、冬至。,包含
时间计算,所求时间＝已知时间±区时差＋途中时间,包含
世界时,以本初子午线（0°）时间为标准时，也称为格林尼治时间，也是零时区的区时。,包含
日期分割,零点经线往东至日界线（180°）为地球上的“今天”，往西至日界线为“昨天”。,包含
日界线,自西向东越过日界线（不完全经过180°经线）日期减一天，自东向西越过日期加一天。,包含
卫星发射基地的区位选择,自然因素：①气象条件需要天气晴朗；②地球自转的初速度：取决於纬度和地势；③地形平坦开阔；,包含
卫星发射基地的区位选择,人文因素(地广人稀，交通便利，符合国防安全需要)：①太原：技术力量强；②酒泉：大陆性气候，晴天多；③西昌纬度低，发射初速度大；④海南文昌：纬度低，发射初速度大；海运便利。,包含
公转速度,1月初--近日点—速度快，7月初--远日点—速度慢,包含
公转速度意义,①昼夜长短的变化,包含
公转速度意义,②正午太阳高度的变化,包含
公转速度意义,③四季的更替,包含
公转速度意义,④五带的形成,包含
公转与自转形成了黄赤交角（23°26′）,①黄赤交角存在---太阳直射点的移动---昼夜长短和正午太阳高度的变化---四季；黄赤交角存在---太阳直射点的移动—气压带风带的季节移动—地中海气候、热带草原气候的形成。,包含
公转与自转形成了黄赤交角（23°26′）,②五带的划分界线：南北回归线之间为热带、回归线极圈之间为温带、极圈极点之间为寒带；,包含
公转与自转形成了黄赤交角（23°26′）,③若黄赤夹角变大，热带和寒带变大，温带变小；若黄赤夹角变小，热带和寒带变小，温带变大若黄赤交角为零，太阳永远直射赤道，全球昼夜平分，地中海气候、热带草原气候消失。,包含
正午太阳高度变化规律,①由直射点向南北两侧递减；,包含
正午太阳高度变化规律,②正午太阳高度的计算=90°—△（直射点与所求点的纬度间隔）；,包含
正午太阳高度变化规律,"③夏至日北回归线以北地区正午高度角一年中最大值,南半球一年中最小值；冬至日南回归线以南地区正午高度角一年中最大值，北半球一年中最小值；",包含
正午太阳高度变化规律,④南北回归线之间的地区-----有两次直射机会---两次最大值；,包含
正午太阳高度变化规律,⑤纬度越高，正午太阳高度角越小，楼房间距越大。,包含
昼夜长短的时间分布,①太阳直射点在哪个半球，哪个半球昼长夜短，北半球夏季，太阳直射点在北半球，北半球的昼长夜短。,包含
昼夜长短的时间分布,②太阳直射点向哪个半球移动，这个半球的昼就渐长，北半球6月22日昼最长，12月22日最短。,包含
昼夜长短的时间分布,③南北回归线之间昼长最大值与正午太阳高度角最大值不在同一天出现，如海口市。,包含
昼夜长短的纬度分布,北半球夏半年，昼长夜短，越向北白昼越长（日出越早日落越晚），如北京＞上海＞广州北半球冬半年，昼短夜长，越向南白昼越长（日出越早日落越晚）。如海口＞广州＞上海。,包含
昼长,日落时间—日出时间,包含
日出时间,12：00－昼长/2（或0：00＋夜长/2）,包含
日落时间,12：00＋昼长/2（或24：00－夜长/2）,包含
昼夜现象出现,地球是个不发光、不透明球体,包含
昼夜更替,地球自转的球体（自转速度周期影响昼夜温差变化）,包含
四季五带,地球倾斜的公转的球体—－直射点的移动、正午太阳高度、昼夜长短的变化,包含
对流层的特点,①随高度增加气温降低；,包含
对流层的特点,②大气对流运动（12km）显著；,包含
对流层的特点,③天气复杂多变。,包含
平流层的特点,①随高度增加温度升高；,包含
平流层的特点,②大气平稳，以水准运动为主，有利於高空飞行。,包含
大气的热力过程,太阳辐射--地面增温--地面辐射--大气增温--大气（逆）辐射--大气保温,包含
大气对太阳辐射的削弱作用,吸收、反射、散射,包含
太阳辐射（光照）与天气、地势关系,晴朗的天气、地势高空气稀薄，光照越强；我国太阳能的分布青藏高原最高，四川盆地最低。,包含
大气的保温效应,强烈吸收地面长波辐射，并通过大气逆辐射把热量还给地面。,包含
气温与天气,白天多云，气温不高（云层反射作用强）；夜晚多云，气温较高（大气逆辐射强）。,包含
气温的垂直分布,对流层气温随高度的增加而递减,包含
气温的水准分布,①纬度分布：纬度越高，气温越低，我国热量最丰富的地区：海南岛,包含
气温的水准分布,②海陆分布：夏季陆地＞海洋，冬季海洋＞陆地；,包含
气温的水准分布,③气温高的地方，等温线向高纬凸出，反之，气温低的地方，等温线向低纬凸出。,包含
气温年较差,①影响因素：海陆热力性质；地表植被水分状况；云雨多少。,包含
气温年较差,②变化规律：内陆＞沿海，大陆性气候＞海洋性气候，裸地＞草地＞林地＞湖泊，晴天＞阴天。,包含
热力环流的性质特点,(1)水准方向相邻地面热的地方——垂直气流上升――低气压（气旋）——阴雨,包含
热力环流的性质特点,(2)水准方向相邻地面冷的地方——垂直气流下沉――高气压（反气旋）——晴朗,包含
热力环流的性质特点,(3)垂直方向的气温气压分布：随海拔升高，虽然气温降低，但是空气变稀，气压降低。,包含
热力环流的性质特点,(4)来自低纬的气流——暖湿,包含
热力环流的性质特点,(5)来自高纬的气流——冷干,包含
热力环流的性质特点,(6)来自海洋的气流——湿,包含
热力环流的性质特点,(7)来自大陆的气流（离陆风）——干,包含
热力环流的性质特点,(8)两种性质不同的气流相遇——锋面——阴雨、风,包含
水准方向气压与气温,近地面，气温高，空气膨胀上升，地面形成低压；反之，气温低，近地面的空气收缩下沉，地面形成高压。,包含
风的形成,大气的水准运动叫风，水准气压梯度力是形成风的直接原因，等压线愈密风速愈大。,包含
风向,风的来向,包含
根据等压线的分布确定风向：以右图为例画A点的风向及其受力,①确定水准气压梯度力的方向：垂直於等压线并且由高压指向低压,包含
根据等压线的分布确定风向：以右图为例画A点的风向及其受力,②确定地转偏向力方向：与风向垂直，北半球右偏，南半球左偏,包含
根据等压线的分布确定风向：以右图为例画A点的风向及其受力,③近地面受磨擦力（方向与风向相反）的影响，风向与等压线斜交,包含
锋面与天气（冷暖不同气团作水准运动并相遇）,①冷锋过境雨区在锋后，出现雨雪、降温天气。过境后，气压升高，气温骤降，天气转晴；,包含
锋面与天气（冷暖不同气团作水准运动并相遇）,②暖锋过境雨区在锋前，多为连续性降水。过境后，气温上升，气压下降，天气转晴。,包含
影响我国天气的主要锋面,冷锋：如我国北方夏季的暴雨、冬季我国的寒潮、冬春季节出现的沙尘暴。,包含
气压系统与天气（同一气团作垂直运动）,①气旋（低气压）垂直气流上升，天气阴雨。;,包含
气压系统与天气（同一气团作垂直运动）,②反气旋（高气压）垂直气流下沉，天气晴朗。,包含
三圈环流及气压带风带,①三圈环流（垂直分布）；,包含
三圈环流及气压带风带,②气压带、风带（水准分布）；,包含
三圈环流及气压带风带,③长城考察站红旗向西北飘，视窗要避开东南方向；黄河考察站红旗向西南飘，视窗要避开东北方向。,包含
气压带和风带的移动,随太阳直射点的移动而移动。移动方向：就北半球而言，大致是夏季北移，冬季南移。,包含
季风环流,海陆热力差异使亚洲、太平洋中心随季节变化而变化的情况：夏季：亚洲大陆上形成亚洲低压，太平洋上形成夏威夷高压；冬季：亚洲大陆上形成亚洲高压，太平洋上形成阿留申低压。,包含
气候形成因素,太阳辐射、大气环流、下垫面、人类活动,包含
判断气候类型的步骤,①判断南北半球，,包含
判断气候类型的步骤,②判断热量带，,包含
判断气候类型的步骤,③判断雨型。,包含
气候类型,热带的四种气候类型：热带雨林气候、热带沙漠气候、热带季风气候、热带草原气候,包含
气候类型,亚热带气候类型：地中海气候、亚热带季风气候,包含
气候类型,温带气候类型：温带海洋性气候、温带季风气候、温带大陆性气候,包含
大陆性与海洋性气候的不同特点（以北半球为例分析）,大陆性气候气温的日较差、年较差大，气温最高月在7月，最低气温在1月。年降水量少。海洋性气候日较差、年较差小，最热月在8月、最冷月在2月，年降水量较多。,包含
气象灾害,是指因暴雨洪涝、乾旱、台风、寒潮、大风沙尘、大（浓）雾、高温低温等因素直接造成的灾害。,包含
大气环境问题,全球变暖（温室效应CO2）、臭氧层破坏（氟氯烃消耗O3）、酸雨（SO2、NO2）。,包含
温室效应,①大量燃烧矿物燃料——大气中CO2增加——大气逆辐射增强。,包含
温室效应,②滥砍滥伐森林——光合作用减弱——CO2相对增多——大气逆辐射增强。,包含
温室效应,③大气逆辐射增强——温室效应——气温升高——全球热量带分布发生变化——经济结构发生调整（农业经济结构调整，中纬受损，高纬受益，使适宜种植业生产地域缩小，粮食减产。）,包含
温室效应,④极地冰山融化，沿海地区海海平面上升，沿海地区地下水水质变坏。,包含
绿化的环境效益,①通过光合作用保持大气中O2和CO2的平衡，净化空气；,包含
绿化的环境效益,②绿化植物和防护林可以调节气候、涵养水源、保持水土、防风固沙；,包含
绿化的环境效益,③城市绿地的作用是吸烟除尘、过滤空气、减轻污染、降低噪音、美化环境。,包含
水回圈,①按其发生领域分为海陆间大循环、内陆回圈和海上内回圈。,包含
水回圈,②水回圈的主要环节有：蒸发，水汽输送，降水，径流。,包含
水回圈,③它的重要意义在於：使淡水资源不断补充、更新，使水资源得以再生，维持全球水的动态平衡。,包含
陆地水体的相互关系,①以雨水补给为主的的河流其径流的变化与降雨量变化一致：a地中海气候为主的河流，其流量冬季最大；b季风气候为主河流，流量夏季最大;c温带海洋性与热带雨林气候河流流量全年变化小；,包含
陆地水体的相互关系,②以冰雪补给为主的河流其径流变化与气温关系密切：冰川融水补给为主的河流，其流量夏季最大；,包含
陆地水体的相互关系,③河流水地下水之间可相互补给，湖泊对河流径流起调蓄作用。,包含
我国河流补给的差别,①我国东部河流以降水补给为主（夏汛型，东北春季有积雪融水）,包含
我国河流补给的差别,②我国西北地方河流以冰雪融水补给为主（夏汛型，冬季断流）,包含
海水等温线的判读,①判断南北半球（越北越冷是北半球）,包含
海水等温线的判读,②洋流流向和海水等温线凸出方向一致：高温流向低温是暖流，反之是寒流。,包含
影响海水温度因素,太阳辐射（收入）、蒸发（支出）、洋流,包含
洋流的形成,定向风（地球上的风带）是形成洋流最基本的动力，风海流是最基本的洋流类型。,包含
洋流的分布,①中低纬度洋流圈北半球呈顺时针方向、南半球呈反时针方向。；,包含
洋流的分布,②北半球中高纬逆时针方向洋流圈；,包含
洋流的分布,③南半球40—60度海区形成西风漂流；,包含
洋流的分布,④北印度洋形成季风洋流，冬季逆时针，夏季顺时针。,包含
洋流对地理环境的影响,①影响气候（暖流—增温增湿，寒流—减温减湿）,包含
洋流对地理环境的影响,②影响海洋生物——渔场,包含
洋流对地理环境的影响,③影响航海,包含
洋流对地理环境的影响,④影响海洋污染,包含
世界主要渔场,北海道、北海、纽芬兰渔场---寒暖流交汇；秘鲁渔场――上升流,包含
海洋渔业集中在大陆架的原因,①这里阳光集中，生物光合作用强；,包含
海洋渔业集中在大陆架的原因,②入海河流带来丰富的营养盐类，浮游生物繁盛，鱼饵丰富。,包含
海洋灾害,海洋灾害是指源于海洋的自然灾害：海啸和风暴潮。,包含
海洋环境问题,海洋环境问题指源於人类活动的海洋生态破坏：海洋污染、海平面上升、赤潮,包含
地球的内部圈层,地壳（地表到莫霍介面）、地幔（莫霍面—古登堡面）、地核（古登堡面以下）,包含
岩石圈范围,包括地壳和上地幔顶部（软流层之上）,包含
岩石成因分类,岩浆岩（喷出岩和侵入岩）、沉积岩（层理构造、有化石）、变质岩。,包含
地壳物质回圈,岩浆冷却凝固→岩浆岩－外力→沉积岩－变质→变质岩－熔化→岩浆,包含
地质作用,①内力作用（地壳运动、岩浆活动、地震、变质作用）,包含
地质作用,②外力作用（风化、侵蚀、搬运、沉积、固结成岩）,包含
地质构造的类型,褶皱（背斜、向斜），断层（上升岩块－地垒、下沉岩块－地堑）,包含
背斜成谷向斜成山的原因,外力侵蚀（在外力侵蚀作用之前背斜成山、向斜成谷），背斜顶部受张力，容易被侵蚀成谷地；向斜槽部受到挤压，岩性坚硬不易被侵蚀反而成为山岭。,包含
地垒,庐山、泰山,包含
地堑,东非大裂谷、河平原和汾河谷地,包含
地质构造对人类生产活动的影响,背斜（储油）、向斜（储水）、大型工程选址，应避开断层,包含
外力作用与常见地貌,①流水侵蚀——沟谷、峡谷、瀑布、黄土高原的千沟万壑的地表、溶洞（喀斯特地貌）弯曲的河道--凹岸侵蚀，凸岸沉积（港口宜建在凹岸）,包含
外力作用与常见地貌,②流水沉积——山麓冲积扇、河口三角洲、河流中下游冲积平原,包含
外力作用与常见地貌,③风力侵蚀——风蚀沟谷、风蚀洼地、蘑菇石、风蚀柱、风蚀城堡等,包含
外力作用与常见地貌,④风力沉积——沙丘、沙垄、沙漠边缘的黄土堆、黄土高原,包含
陆地环境的整体性,陆地环境各要素（大气、水、岩石、生物、土壤、地貌）的相互联系、相互制约和相互渗透，构成陆地环境的整体性。例如我国西北地方各环境要素都体现出乾旱特徵。,包含
陆地环境的地域差异,①由赤道到两极的地域分异（热量）---――-纬度地带性,包含
陆地环境的地域差异,②从沿海到内陆的地域分异（水分）---－-经度地带性,包含
陆地环境的地域差异,③山地的垂直地域分异（水分和热量）-－--垂直地带性,包含
影响山地垂直带谱的因素,①山地所处的纬度；,包含
影响山地垂直带谱的因素,②山地的海拔；,包含
影响山地垂直带谱的因素,③阳坡、阴坡；,包含
影响山地垂直带谱的因素,④迎风、背风坡。,包含
影响雪线高低的因素,一是0℃等温线的海拔（阳坡、阴坡）,包含
影响雪线高低的因素,二是降水量的大小(迎风、背风坡),包含
非地带性因素,海陆分布、地形起伏、洋流影响等。例如我国西北地方的绿洲。,包含
主要地质灾害,地震、火山、滑坡和泥石流。,包含
两大地震带,环太平洋带、地中海——喜马拉雅带,包含
我国多地震的原因,我国位於两大地震带中。,包含
地质灾害的防御,提高建筑物抗震强度；实施护坡工程，防止滑坡和崩塌；保护植被，改善生态环境。,包含
人类对宇宙的认识过程,天圆地方说、地圆说、地心说、日心说、大爆炸宇宙学说。,包含
宇宙的基本特点,由各种形态的物质构成，在不断运动和发展变化。,包含
天体的分类,星云、恒星、行星、卫星、彗星、流星体、星际物质。,包含
天体系统的成因,天体之间因相互吸引和相互绕转，形成天体系统。,包含
天体系统的级别,地月系－太阳系－银河系（河外星系）－总星系。,包含
日地平均距离,1.496亿千米,包含
太阳系八大行星的位置,水金地火（小）、木土天海。,包含
八大行星按结构特征分类,类地行星（水金地火）巨行星（木土）远日行星（天海）,包含
地球上生物出现和进化的原因,光照条件、稳定的宇宙环境、适宜的大气温度、液态水。,包含
太阳的主要成分,氢和氦,包含
太阳辐射能量的来源,核聚变反应 ,包含
太阳辐射对地球和人类的影响,维持地表温度，水循环、大气运动等的动力，人类的主要能源。,包含
太阳活动,黑子（标志）、耀斑（最激烈）。,包含
我国太阳能的分布,青藏高原（最高）、四川盆地（最低）,包含
太阳外部结构及其相应的太阳活动 ,光球(黑子)、色球(耀斑)、日冕(太阳风)。,包含
太阳黑子的变化周期,11年。,包含
太阳活动对地球的影响,①影响气候,包含
太阳活动对地球的影响,②影响短波通讯,包含
太阳活动对地球的影响,③产生磁暴现象,包含
月相,新月、蛾眉月、上弦月、满月、下弦月、残月,包含
月相变化规律,上上西西（上弦月），下下东东（下弦月）,包含
星期的由来 ,朔望两弦四相。,包含
空间探索阶段的开始,1957年10月，原苏联第一颗人造地球卫星上天。,包含
空间开发阶段的开始,1981年第一架航天飞机试航成功。,包含
宇宙自然资源的分类,空间资源（高真空、强辐射、失重）、太阳能资源、矿产资源。,包含
保护宇宙环境,清除太空垃圾、加强国际合作。,包含
地球的平均半径,6371千米,包含
地球的赤道周长,4万千米,包含
东西两半球的划分,西经20°和东经160°的经线圈,包含
 南北两半球的划分, 以赤道为界，以北的为北半球，以南的为南半球。,包含
南北回归线和南北极圈,23°26′和66°34′纬线 ,包含
本初子午线,0°经线，通过英国伦敦格林尼治天文台原址。,包含
南北方向的判断,有限方向，北极为最北，南极为最南。,包含
东西方向的判断,无限方向，沿着自转方向为向东，逆着自转方向为向西。,包含
东西经的判断,沿着自转方向增大的是东经，减小的是西经。,包含
南北纬的判断,度数向北增大为北纬，向南增大为南纬。,包含
地球自转的方向,自西向东。从地球北极上空观察，呈逆时针旋转。,包含
地球自转的周期,恒星日，23小时56分4秒（真正周期）；太阳日，24小时。,包含
地球自转的速度, 角速度（每小时15°），线速度（自赤道向两极递减）,包含
地球公转的轨道 , 椭圆轨道。一月初（近日点），七月初（远日点）。 ,包含
地球公转的方向, 自西向东。从地球北极上空观察，呈逆时针旋转。,包含
地球公转的周期,恒星年（365日6时9分10秒）、回归年365日5小时48分46秒,包含
地球公转的速度,在近日点时公转速度较快，在远日点时较慢。,包含
黄赤交角,黄道平面与赤道平面的夹角，目前为23°26′。,包含
太阳直射点的移动规律,太阳直射点以一年为周期相应地在南北回归线间往返移动,包含
晨昏线的判断,沿自转方向，黑夜向白天过渡为晨线，白天向黑夜过渡为昏线。,包含
地方时的计算,每往东1°，时刻增大4分钟。,包含
已知经度求时区数,经度除以15，再四舍五入。,包含
区时的计算,每往东1个时区，时刻增大1个小时。,包含
北京时间,以东八区（120°地方时）为标准时间。,包含
世界时,以本初子午线时间为标准时。,包含
国际日期变更线,180°经线（理论上），不通过陆地（实际）。,包含
地球自转的地理意义,昼夜更替、不同地方时、水平运动物体的偏移（北右南左）,包含
太阳直射点的判断,与该点的切线方向垂直，地方时为12点。,包含
春分日,（3月21日）太阳直射点在赤道，晨昏线与经线重合。,包含
夏至日,（6月22日）太阳直射点在北回归线，晨昏线与经线交角最大。,包含
秋分日,（9月23日）太阳直射点在赤道，晨昏线与经线重合。,包含
冬至日,（12月22日）太阳直射点在南回归线，晨昏线与经线交角最大。,包含
夏半年的概念,3月21日至9月23日,包含
冬半年的概念,9月23日至3月21日,包含
地球侧视图的判读,上北下南，左西右东。,包含
地球俯视图的判读,逆时针自转，中心为北极；顺时针自转，中心为南极。,包含
昼夜长短的计算,以昼弧长度为依据，每15度为1小时。,包含
日出日落时刻的计算,根据昼长以标准日出（6时）和标准日落（18时）前后推算。,包含
昼夜长短的判断,夏半年，越北白昼越长，冬半年，越南白昼越长。,包含
正午太阳高度的计算,90°-（直射点与所求点的纬度间隔）,包含
天文四季,一年内白昼最长、太阳最高的季节是夏季。,包含
我国传统四季,以立春(2月4日)、立夏、立秋、立冬为起点来划分四季。,包含
欧美传统四季,以春分、夏至、秋分、冬至为四季的起点。,包含
二十四节气,春雨惊春清谷天夏满芒夏暑相连秋处露秋寒霜降冬雪雪冬小大寒,包含
五带的名称和范围,热带、北温带、南温带、北寒带、南寒带。,包含
地球公转的地理意义,正午太阳高度的变化、昼夜长短的变化、四季更替,包含
大气圈对地球的重要意义,保护生物生存，影响地球自然环境，维持生命活动,包含
低层大气的组成,干洁空气、水汽和固体杂质,包含
干洁空气的组成,氮和氧，二氧化碳和臭氧,包含
氧、氮、臭氧、二氧化碳、水汽和尘埃的作用,生命活动；构成生物体；吸收紫外线；光合、保温作用；成云致雨,包含
大气污染,二氧化碳的“温室效应”，氟氯烃破坏臭氧层,包含
大气垂直分层,对流层、平流层（臭氧层）、高层大气（电离层）,包含
对流层的主要特征,上冷下热，对流显著，天气现象复杂多变。与人类的关系最密切,包含
平流层的主要特征,臭氧吸收紫外线。平流，对高空飞行有利，,包含
影响太阳辐射强度的最主要因素,太阳高度角,包含
大气对太阳辐射的削弱作用,吸收、反射、散射。,包含
辐射定律,物质的温度越高，辐射中最强部分的波长越短；反之越长。,包含
地面辐射,是对流层大气主要的直接热源。,包含
大气逆辐射,夜间有云较温暖，夜间晴朗较寒冷。,包含
大气的保温效应,对流层大气中的水汽和二氧化碳对地面长波辐射吸收能力很强。,包含
全球的热量平衡,地球多年平均收入的热量与支出的热量是相等的。,包含
引起大气运动的根本原因,各纬度间的冷热不均。,包含
热力环流,由于地面冷热不均而形成的空气环流。,包含
形成风的直接原因,水平气压梯度力。水平气压梯度力的方向和大小高压垂直指向低压。单位距离间气压差越大风力越大。,包含
地转偏向力的方向,北半球向右偏，南半球向左偏。,包含
摩擦力对风向的影响,由于受摩擦力的影响，风向与等压线并不平行，而是有个交角。,包含
根据等压线判断风向的步骤,①高压垂直指向低压②北半球右偏南半球左偏,包含
小气候,城市风、海陆风、山谷风,包含
海平面等压线与风力大小,低压中心，高压中心。等压线越密集，风力越大。,包含
大气环流的意义,调整全球水热分布，是各地天气变化和气候形成的重要因素。,包含
地球上气压带和风带的分布,东北信风、副高、中纬西风、副极地低压、极地东风、极地高压,包含
气压带和风带的季节位移,大致来说，夏季北移，冬季南移。,包含
冬季海陆上的主要气压中心,亚洲高压、阿留申低压（太平洋）和冰岛低压（大西洋）,包含
夏季海陆上的主要气压中心,亚洲低压夏威夷高压（太平洋）亚速尔高压（大西洋）,包含
季风的成因,①海陆热力性质差异②气压带和风带位置的季节移动,包含
季风的典型分布地区,东亚季风（西北、东南风）；南亚季风（东北、西南风）。,包含
锋面的分类与天气,冷锋、暖锋和准静止锋。气温、气压、天气。,包含
锋面对我国天气影响的实例,北方夏季的暴雨（冷锋）、我国冬季爆发的寒潮（冷锋）,包含
气候要素,气温、降水量。,包含
气候形成因子,太阳辐射、大气环流、下垫面、人类活动。,包含
世界气候类型的名称,热带（四种）、亚热带（两种）、温带（三种）、寒带（一种）,包含
判断气候类型的步骤,①判断南北半球，②判断热量带，③判断雨型。,包含
地中海气候的特点、成因、分布规律,"夏季炎热干燥,冬季温和多雨。受副高和西风交替控制。30-40西岸",包含
温带季风气候的特点、成因、分布规律,夏季高温多雨，冬季低温干燥。季风。40-60°大陆东岸。,包含
温带海洋性气候的特点、成因、分布规律,冬暖夏凉，降水均匀。终年盛行西风。40-60°大陆西岸。,包含
温带大陆性气候的特点、成因、分布规律,冬季严寒、夏季炎热、全年少雨。终年受大陆气团控制。温带内陆,包含
气候的变化,地质时期、历史时期、19世纪末以来。,包含
气候资源的特点,可再生，普遍存在性，数值特征，有较大的变率,包含
气候资源与农业,种植制度（作物的结构、熟制、配置与种植方式）。,包含
气候资源与建筑,小区街道与子午线成30°-60°夹角。,包含
风与城市规划,工业企业布局在盛行风的下风向，居住区布局在盛行风的上风向,包含
气候资源与交通,公路、铁路、机场（暴雨、泥石流、风速、桥涵、云雾、地势等）,包含
热带气旋强度等级,热带低气压、热带风暴、强热带风暴、台风。,包含
暴雨形成条件,①充足的水汽②强烈上升运动③持续的天气系统,包含
洪涝灾害的防御,提高预报的准确率，采取工程措施和非工程措施。,包含
干旱的危害,造成粮食减产，人畜饮水困难，影响经济发展和社会安定。,包含
干旱的防御,改善生态、选择耐旱作物、开展水利建设、改进耕作制度等。,包含
寒潮的危害,带来严寒、大风、霜冻。对春秋季的农作物危害最大。,包含
寒潮的防御,提前发布准确的寒潮消息或警报。,包含
全球变暖趋势及其人为原因,①燃烧矿物燃料②毁林,包含
全球变暖造成的后果,①海平面上升②各地区降水和干湿状况的变化。,包含
大气臭氧层总量减少的主要原因,氟氯烃化合物消耗臭氧。,包含
大气臭氧层总量减少危害,①直接危害人体健康②对生态环境和农林牧渔造成破坏。,包含
臭氧层的保护,①研制新型制冷系统②参与国际合作,包含
酸雨的成因,燃烧煤、石油、天然气，排放二氧化硫和氧化氮等酸性气体。,包含
我国酸雨区的分布,①四川盆地②珠江三角洲③长江三角洲,包含
酸雨的危害,①河湖水酸化，影响鱼类②土壤酸化③腐蚀建筑物④危及人体健康,包含
酸雨的防治,减少人为硫氧化物和氮氧化物的排放。煤炭中的硫资源综合利用。,包含
大气环境保护,二氧化碳的“温室效应”，氟氯烃破坏臭氧层，酸雨。,包含
海洋是大气的主要热源和水源,海洋水量占地球总水量的96.53%海洋占地球71%。,包含
海岸带,从滨海平原到大陆架之间的广阔区域。,包含
人－海岸相互作用阶段,①很少干预②开始干预③海岸开发④海岸管理,包含
海水热量的收入,太阳辐射,包含
海水热量的支出,海水蒸发所消耗的热量。,包含
影响海洋表层水温的因素,太阳辐射、沿岸地形、气象、洋流等。,包含
海水温度的空间变化规律,从赤道向两极递减。,包含
海水温度的垂直变化,表层海水温度变化较大，深层海水温度变化不大。,包含
海水中主要盐类物质,氯化钠、氯化镁,包含
盐度的概念,1000克海水中所含溶解的盐类物质的总量。,包含
海洋表层盐度的纬度分布规律,从南北半球的副热带海区分别向南北两侧递减。,包含
影响海水盐度的因素,降水量、蒸发量、洋流、河流淡水汇入（径流量）。,包含
盐度最高的海区,红海（亚非交界）,包含
盐度最低的海区,波罗的海（北欧附近）,包含
海水运动的主要形式,波浪（风浪）、潮汐（大潮和小潮）、洋流,包含
洋流的概念,海水常年比较稳定地沿着一定方向作大规模的流动。,包含
洋流的成因分类,风海流、补偿流（大多南北向）、密度流（直布罗陀海峡）。,包含
风海流的成因,盛行风吹拂海面，推动海水随风漂流。,包含
世界洋流模式(低、中纬),反气旋型。北半球为顺时针流动，南半球为反时针流动。,包含
世界洋流模式(中、高纬),北半球中高纬是气旋型大洋环流，呈反时针方向流动。,包含
北印度洋洋流的分布规律,冬逆夏顺。冬季洋流向西流，夏季洋流向东流。,包含
北太平洋的洋流分布,北赤道暖流、日本暖流、北太平洋暖流、加利福尼亚寒流。,包含
南太平洋的洋流分布,南赤道暖流、东澳大利亚暖流、西风漂流、秘鲁寒流。,包含
南印度洋的洋流分布,南赤道暖流、厄加勒斯暖流、西风漂流、西澳大利亚寒流。,包含
北大西洋的洋流分布,北赤道暖流、墨西哥湾暖流、北太西洋暖流、加那利寒流。,包含
