scope,subject,relation
基础知识,地球上气压带和风带的分布,包含
基础知识,气压带和风带的季节位移,包含
基础知识,冬季海陆上的主要气压中心,包含
基础知识,夏季海陆上的主要气压中心,包含
基础知识,季风的成因,包含
基础知识,季风的典型分布地区,包含
基础知识,锋面的分类与天气,包含
基础知识,锋面对我国天气影响的实例,包含
基础知识,气候要素,包含
基础知识,气候形成因子,包含
基础知识,世界气候类型的名称,包含
基础知识,地中海气候的特点、成因、分布规律,包含
基础知识,温带季风气候的特点、成因、分布规律,包含
基础知识,温带海洋性气候的特点、成因、分布规律,包含
基础知识,温带大陆性气候的特点、成因、分布规律,包含
基础知识,气候的变化,包含
基础知识,气候资源的特点,包含
基础知识,气候资源与农业,包含
基础知识,气候资源与建筑,包含
基础知识,风与城市规划,包含
基础知识,气候资源与交通,包含
基础知识,热带气旋强度等级,包含
基础知识,暴雨形成条件,包含
基础知识,洪涝灾害的防御,包含
基础知识,干旱的危害,包含
基础知识,干旱的防御,包含
基础知识,寒潮的危害,包含
基础知识,寒潮的防御,包含
基础知识,全球变暖趋势及其人为原因,包含
基础知识,全球变暖造成的后果,包含
基础知识,大气臭氧层总量减少的主要原因,包含
基础知识,大气臭氧层总量减少危害,包含
基础知识,臭氧层的保护,包含
基础知识,酸雨的成因,包含
基础知识,我国酸雨区的分布,包含
基础知识,酸雨的危害,包含
基础知识,酸雨的防治,包含
基础知识,大气环境保护,包含
基础知识,海洋是大气的主要热源和水源,包含
基础知识,海岸带,包含
基础知识,人－海岸相互作用阶段,包含
基础知识,海水热量的收入,包含
基础知识,海水热量的支出,包含
基础知识,影响海洋表层水温的因素,包含
基础知识,海水温度的空间变化规律,包含
基础知识,海水温度的垂直变化,包含
基础知识,海水中主要盐类物质,包含
基础知识,盐度的概念,包含
基础知识,海洋表层盐度的纬度分布规律,包含
基础知识,影响海水盐度的因素,包含
基础知识,盐度最高的海区,包含
基础知识,盐度最低的海区,包含
基础知识,海水运动的主要形式,包含
基础知识,洋流的概念,包含
基础知识,洋流的成因分类,包含
基础知识,风海流的成因,包含
基础知识,世界洋流模式(低、中纬),包含
基础知识,世界洋流模式(中、高纬),包含
基础知识,北印度洋洋流的分布规律,包含
基础知识,北太平洋的洋流分布,包含
基础知识,南太平洋的洋流分布,包含
基础知识,南印度洋的洋流分布,包含
基础知识,北大西洋的洋流分布,包含
基础知识,南大西洋的洋流分布,包含
基础知识,海洋资源的分类,包含
基础知识,各类海洋资源的开发利用海洋化工；养殖、增殖；深海锰结核；潮汐和波浪发电。,包含
基础知识,渔业资源的形成因素,包含
基础知识,世界主要渔业国,包含
基础知识,世界渔场分布,包含
基础知识,海洋油、气开发,包含
基础知识,海洋空间利用的特点,包含
基础知识,海洋空间利用的方式,包含
基础知识,著名海峡,包含
基础知识,著名运河和港口,包含
基础知识,腹地,包含
基础知识,世界围海造陆的典型地区,包含
基础知识,海洋污染的产生原因陆地上的生产过程（废弃物、冷却水、杀虫剂、石油渗漏）,包含
基础知识,海洋污染的危害,包含
基础知识,海洋生态破坏的原因,包含
基础知识,石油泄漏清污方法,包含
基础知识,《联合国海洋法公约》,包含
基础知识,领海、专属经济区,包含
基础知识,岩石圈的范围,包含
基础知识,地壳中主要化学元素,包含
基础知识,矿物的概念,包含
基础知识,岩石的概念,包含
基础知识,矿产的概念,包含
基础知识,造岩矿物,包含
基础知识,常见岩石,包含
基础知识,地壳物质循环规律,包含
基础知识,地质作用的概念,包含
基础知识,地质作用的分类,包含
基础知识,内力作用的主要表现形式,包含
基础知识,地壳运动的两种类型及其影响,包含
基础知识,六大板块的名称,包含
基础知识,板块相对移动形成的地貌,包含
基础知识,生长边界与消亡边界,包含
基础知识,地质构造的概念,包含
基础知识,地质构造类型,包含
基础知识,背斜成谷和向斜成山的成因,包含
基础知识,外力作用的主要表现形式,包含
基础知识,流水与风力作用所塑造的地貌类型,包含
基础知识,水资源的概念,包含
基础知识,陆地水的分类,包含
基础知识,陆地水的基本来源,包含
基础知识,静态水资源,包含
基础知识,动态水资源,包含
基础知识,潜水,包含
基础知识,承压水,包含
基础知识,我国东部河流的径流变化,包含
基础知识,海陆间水循环的过程,包含
基础知识,水循环的意义,包含
基础知识,气候对生物分布的影响,包含
基础知识,植物对环境的指示作用,包含
基础知识,光合作用的意义,包含
基础知识,生物循环的作用,包含
基础知识,原始大气的成分,包含
基础知识,生物在自然环境中的作用,包含
基础知识,土壤的概念,包含
基础知识,土壤的作用,包含
基础知识,土壤的组成,包含
基础知识,土壤的肥力特征,包含
基础知识,理想土壤成分的体积分数,包含
基础知识,土壤与农业生产的关系,包含
基础知识,生物在土壤形成中的主导作用,包含
基础知识,人类活动对土壤形成的影响,包含
基础知识,陆地环境各要素间的相互关系,包含
基础知识,世界陆地自然带分布,包含
基础知识,陆地自然资源在人地关系中的重要作用,包含
基础知识,陆地自然资源的分类,包含
基础知识,陆地自然资源的特点和规律,包含
基础知识,能源资源的分类,包含
基础知识,地震的构造,包含
基础知识,火山的分类,包含
基础知识,滑坡的成因,包含
基础知识,泥石流的成因,包含
基础知识,地质灾害的防御措施,包含
基础知识,农业生产的特点,包含
基础知识,农业的投入因素,包含
基础知识,农业按生产对象分类,包含
基础知识,农业按投入分类,包含
基础知识,农业按产品用途分类,包含
基础知识,社会经济条件对农业区位的影响,包含
基础知识,人类对自然因素的利用和改造,包含
基础知识,市场、交通及技术的发展对农业区位的影响,包含
基础知识,世界水稻种植业的主要分布地,包含
基础知识,亚洲水稻种植业的特点,包含
基础知识,世界大牧场放牧业的分布地,包含
基础知识,大牧场放牧业的形成条件分析（潘帕斯）,包含
基础知识,阿根廷促进牧牛业的主要措施,包含
基础知识,商品谷物农业的基本特征,包含
基础知识,商品谷物农业的主要分布地,包含
基础知识,商品谷物农业的区位条件实例分析（美国）,包含
基础知识,世界主要的混合农业生产方式,包含
基础知识,混合农业的分布地,包含
基础知识,混合农业的发展优势及实例分析（澳大利亚）,包含
基础知识,工业的投入因素,包含
基础知识,工业的产出,包含
基础知识,工业投入要素与工业发展类型的关系,包含
基础知识,三次技术革命对工业发展的影响,包含
基础知识,影响工业区位的因素,包含
基础知识,五种区位因素指向型工业,包含
基础知识,原料、交通运输、信息和劳动力对工业区位影响的变化,包含
基础知识,社会需要对工业区位选择的影响,包含
基础知识,环境需要对工业区位选择的影响,包含
基础知识,企业增长的战略,包含
基础知识,企业空间发展的特点,包含
基础知识,跨国公司的空间发展过程,包含
基础知识,工业企业之间的联系,包含
基础知识,工业集聚的优势,包含
基础知识,工业分散的原因,包含
基础知识,工业地域的形成原因,包含
基础知识,不同发育程度工业地域的不同特点,包含
基础知识,传统工业区的区位特点分析（鲁尔区）,包含
基础知识,鲁尔区衰落原因,包含
基础知识,鲁尔工业区的综合整治,包含
基础知识,意大利新兴工业区的特点,包含
基础知识,高技术工业的特点,包含
基础知识,美国“硅谷”发展的主要因素,包含
基础知识,聚落的形成,包含
基础知识,村落的形态与地理环境的关系,包含
基础知识,古代城市出现的基本条件,包含
基础知识,古代城市的分布特点,包含
基础知识,著名古代城市发源地,包含
基础知识,地形对城市区位的影响,包含
基础知识,美国三大城市带,包含
基础知识,世界三大片城市密集地区,包含
基础知识,城市分布与气候的密切关系,包含
基础知识,中国特大城市分布,包含
基础知识,河流对城市区位的影响,包含
基础知识,矿产资源对城市区位的影响,包含
基础知识,交通对城市区位的影响,包含
基础知识,政治、军事、宗教对城市发展的影响,包含
基础知识,城市区位因素的发展变化,包含
基础知识,城市化的含义,包含
基础知识,城市化的作用,包含
基础知识,城市化的主要标志,包含
基础知识,世界城市化进程的特点,包含
基础知识,发达国家城市化的特点,包含
基础知识,发展中国家城市化的特点,包含
基础知识,城市化过程中产生的主要问题,包含
基础知识,上海市保护和改善城市环境的主要措施,包含
基础知识,主要的交通运输方式及其特点,包含
基础知识,亚欧大陆桥,包含
基础知识,世界主要航海线,包含
基础知识,邮政通信的主要任务及特点,包含
基础知识,电信通信的主要任务及特点,包含
基础知识,商业活动的主要环节,包含
基础知识,影响铁路建设的主要区位因素,包含
基础知识,建设京九铁路的意义,包含
基础知识,公路选线的一般原则,包含
基础知识,内河航道网的组成,包含
基础知识,港口的概念,包含
基础知识,港口的区位因素分析,包含
基础知识,汽车站的区位因素,包含
基础知识,航空港的区位因素,包含
基础知识,城市交通运输的主要特点,包含
基础知识,城市道路网规划原则,包含
基础知识,城市交通面临的两大主要问题及解决方法,包含
基础知识,电子通信的发展,包含
基础知识,信息高速公路,包含
基础知识,国际互联网的影响,包含
基础知识,国际互联网的应用,包含
基础知识,商业中心的形成,包含
基础知识,商业中心的功能,包含
基础知识,商业街的区位选择,包含
基础知识,商业小区的区位选择,包含
基础知识,发达国家国际贸易的特点,包含
基础知识,发展中国家国际贸易的特点,包含
基础知识,世界重要的国际金融中心,包含
基础知识,人类与环境的关系及模式图,包含
基础知识,环境问题的两大类主要表现,包含
基础知识,环境污染产生的原因,包含
基础知识,环境污染的种类,包含
基础知识,生态破坏产生的原因,包含
基础知识,生态破坏的影响,包含
基础知识,发展中国家环境问题严重的原因,包含
基础知识,全球性环境问题,包含
基础知识,世界人口增长状况,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
,,包含
