subject,content,relation
太阳辐射的影响：,①维持地表温度，促进地球上水、大气、生物活动和变化的主要动力。,包含
太阳辐射的影响：,②太阳能是我们日常所用能源。,包含
自转 方向：,自西向东，北极上空俯视呈逆时针方向、南极上空俯视呈顺时针方向,包含
速度：,①线速度（由赤道向两极递减至0） ②角速度（除两极为0外，各地相等）,包含
周期：,①恒星日（23h56m4s真正周期）②太阳日（24时，昼夜更替周）,包含
意义：,①昼夜更替②不同经度不同的地方时③水平运动物体的偏移（北右南左）,包含
晨昏线：,沿自转方向，黑夜向白天过渡为晨线，白天向黑夜过渡为昏线（晨昏线上太阳高度角为0度）。,包含
晨昏线与经线：,晨昏线与经线重合-----春秋分；晨昏线与经线交角最大----夏至、冬至,包含
时间计算：,所求时间＝已知时间±区时差＋途中时间,包含
世界时：,以本初子午线（0°）时间为标准时，也称为格林尼治时间，也是零时区的区时。,包含
日期分割：,零点经线往东至日界线（180°）为地球上的“今天”，往西至日界线为“昨天”。,包含
日界线：,自西向东越过日界线（不完全经过180°经线）日期减一天，自东向西越过日期加一天。,包含
卫星发射基地的区位选择：,自然因素(①气象条件需要天气晴朗②地球自转的初速度：取决于纬度和地势③地形平坦开阔)；,包含
卫星发射基地的区位选择：,人文因素(地广人稀，交通便利，符合国防安全需要)。,包含
卫星发射基地的区位选择：,①太原：技术力量强； ②酒泉：大陆性气候，晴天多；③西昌纬度低，发射初速度大；④海南文昌：纬度低，发射初速度大；海运便利。,包含
公转 速度：,1月初--近日点—速度快，7月初--远日点—速度慢；,包含
公转 速度 意义：,①昼夜长短的变化 ②正午太阳高度的变化 ③四季的更替 ④五带的形成,包含
公转与自转形成了黄赤交角（23°26′）：,①黄赤交角存在---太阳直射点的移动---昼夜长短和正午太阳高度的变化---四季 ,包含
公转与自转形成了黄赤交角（23°26′）：,黄赤交角存在---太阳直射点的移动—气压带风带的季节移动—地中海气候、热带草原气候的形成,包含
公转与自转形成了黄赤交角（23°26′）：,②五带的划分界线：南北回归线之间为热带、回归线极圈之间为温带、极圈极点之间为寒带,包含
公转与自转形成了黄赤交角（23°26′）：,③若黄赤夹角变大，热带和寒带变大，温带变小；若黄赤夹角变小，热带和寒带变小，温带变大若黄赤交角为零，太阳永远直射赤道，全球昼夜平分，地中海气候、热带草原气候消失。,包含
正午太阳高度变化规律：,①由直射点向南北两侧递减,包含
正午太阳高度变化规律：,②正午太阳高度的计算=90°—△（直射点与所求点的纬度间隔）,包含
正午太阳高度变化规律：,"③夏至日北回归线以北地区正午高度角一年中最大值, 南半球一年中最小值；",包含
正午太阳高度变化规律：,冬至日南回归线以南地区正午高度角一年中最大值，北半球一年中最小值。,包含
正午太阳高度变化规律：,④南北回归线之间的地区-----有两次直射机会---两次最大值,包含
正午太阳高度变化规律：,⑤纬度越高，正午太阳高度角越小，楼房间距越大。,包含
昼夜长短的时间分布：,①太阳直射点在哪个半球，哪个半球昼长夜短，北半球夏季，太阳直射点在北半球，北半球的昼长夜短。,包含
昼夜长短的时间分布：,②太阳直射点向哪个半球移动，这个半球的昼就渐长，北半球6月22日昼最长，12月22日最短。,包含
昼夜长短的时间分布：,③南北回归线之间昼长最大值与正午太阳高度角最大值不在同一天出现，如海口市。,包含
昼夜长短的纬度分布：,北半球夏半年，昼长夜短，越向北白昼越长（日出越早日落越晚），如北京﹥上海﹥广州,包含
昼夜长短的纬度分布：,北半球冬半年，昼短夜长，越向南白昼越长（日出越早日落越晚）。如海口﹥广州﹥上海，,包含
昼长=,日落时间—日出时间,包含
昼长=,24小时—夜长,包含
日出时间＝,12：00－昼长/2（或0：00＋夜长/2）;赤道上的点的日出时间是6：00,包含
日落时间＝,12：00＋昼长/2（或24：00－夜长/2）；赤道上的点的日落时间是18：00,包含
典型的季节现象,北半球夏半年;北半球冬半年,包含
地球公转:,七月初，远日点附近，地球公转角速度、线速度最慢;一月初，近日点附近，地球公转角速度、线速度最快,包含
正午太阳高度:,6月22日左右，北回归线以北地区达最大，赤道及南半球达最小;12月22日左右，南回归线以南地区达最大，赤道及北半球达最小,包含
昼夜长短:,昼长夜短，北极圈以内出现极昼;昼短夜长，北极圈以内出现极夜,包含
等温线:,陆地等温线均向北凸出;陆地等温线均向南凸出，海洋相反,包含
气压带、风带:,随太阳直射点北移;随太阳直射点南移,包含
雪线:,雪线上升;雪线下降,包含
北印度洋洋流:,受西南季风的影响，洋流呈顺时针流动;受东北季风的影响，洋流呈逆时针流动,包含
我国的降水:,夏李风影响，降水多;冬李风影响，降水少,包含
我国的河流:,内流河因高温导致冰雪融水多，外流河受夏季风影响，大部分河流进入汛期，东北地区分春汛、夏汛;大部分进入枯水期，秦岭淮河以北的河流有结冰期，部分河流有断流现象,包含
我国的季风:,全国大部分地区受来自海洋的夏季风影响，高温多雨;全国大部分地区受来自大陆的冬季风影响，寒冷少雨,包含
我国的农业生产:,全国普遍高温，农作物进入生长期，作物熟制自南向北由一年三熟逐渐过渡到两年三熟至一年一熟;北方大部分地区农作物处于越冬期，南方热带地区水热充足，可生产反季节蔬菜、瓜果,包含
气象灾害:,旱涝（华北春旱、长江伏旱）、暴雨、台风（表现：强风、暴雨、风暴潮）;寒潮、沙尘暴、干旱、暴雪,包含
地质灾害:,滑坡、泥石流较多;较少,包含
对流层的特点：,①随高度增加气温降低；②大气对流运动（12km）显著；③天气复杂多变。,包含
平流层的特点：,①随高度增加温度升高；②大气平稳，以水平运动为主，有利于高空飞行。,包含
大气的热力过程：,太阳辐射--地面增温--地面辐射--大气增温--大气（逆）辐射--大气保温,包含
大气对太阳辐射的削弱作用：,吸收、反射、散射,包含
太阳辐射（光照）与天气、地势关系：,晴朗的天气、地势高空气稀薄，光照越强；我国太阳能的分布青藏高原最高，四川盆地最低。,包含
大气的保温效应：,强烈吸收地面长波辐射，并通过大气逆辐射把热量还给地面。,包含
气温与天气：,白天多云，气温不高（云层反射作用强）；夜晚多云，气温较高（大气逆辐射强）。,包含
气温的垂直分布：,对流层气温随高度的增加而递减,包含
气温的水平分布：,①纬度分布：纬度越高，气温越低，我国热量最丰富的地区：海南岛,包含
气温的水平分布：,②海陆分布：夏季陆地﹥海洋，冬季海洋﹥陆地；,包含
气温的水平分布：,③气温高的地方，等温线向高纬凸出，反之，气温低的地方，等温线向低纬凸出。,包含
气温年较差：,①影响因素：海陆热力性质；地表植被水分状况；云雨多少。,包含
气温年较差：,②变化规律：内陆﹥沿海，大陆性气候﹥海洋性气候，裸地﹥草地﹥林地﹥湖泊，晴天﹥阴天。,包含
热力环流的性质特点,（1）水平方向相邻地面热的地方——垂直气流上升――低气压（气旋）——阴雨,包含
热力环流的性质特点,（2）水平方向相邻地面冷的地方——垂直气流下沉――高气压（反气旋）——晴朗,包含
热力环流的性质特点,（3）垂直方向的气温气压分布：随海拔升高，虽然气温降低，但是空气变稀，气压降低。,包含
热力环流的性质特点,（4）来自低纬的气流——暖湿 ,包含
热力环流的性质特点,（5）来自高纬的气流——冷干,包含
热力环流的性质特点,（6）来自海洋的气流——湿 ,包含
热力环流的性质特点,（7）来自大陆的气流（离陆风）——干,包含
热力环流的性质特点,（8）两种性质不同的气流相遇——锋面——阴雨、风,包含
水平方向气压与气温：,近地面，气温高，空气膨胀上升，地面形成低压；反之，气温低，近地面的空气收缩下沉，地面形成高压。,包含
风的形成：,大气的水平运动叫风，水平气压梯度力是形成风的直接原因，等压线愈密风速愈大。,包含
旱涝灾害发生在春夏秋，影响到除西部一些沙漠地区外的全国范围，天气变化：,暴雨、大暴雨或特大暴雨。,包含
寒潮发生在秋末、冬季、初春，发源于蒙古、西伯利亚，影响到除青藏、云贵、海南外的广大地区，天气变化：,大风、雨雪、冻雨。,包含
地球公转:,七月初，远日点附近，地球公转角速度、线速度最慢;一月初，近日点附近，地球公转角速度、线速度最快,包含
正午太阳高度:,6月22日左右，北回归线以北地区达最大，赤道及南半球达最小;12月22日左右，南回归线以南地区达最大，赤道及北半球达最小,包含
昼夜长短:,昼长夜短，北极圈以内出现极昼;昼短夜长，北极圈以内出现极夜,包含
等温线:,陆地等温线均向北凸出;陆地等温线均向南凸出，海洋相反,包含
气压带、风带:,随太阳直射点北移;随太阳直射点南移,包含
雪线:,雪线上升;雪线下降,包含
北印度洋洋流:,受西南季风的影响，洋流呈顺时针流动;受东北季风的影响，洋流呈逆时针流动,包含
我国的降水:,夏李风影响，降水多;冬李风影响，降水少,包含
我国的河流:,内流河因高温导致冰雪融水多，外流河受夏季风影响，大部分河流进入汛期，东北地区分春汛、夏汛;大部分进入枯水期，秦岭淮河以北的河流有结冰期，部分河流有断流现象,包含
我国的季风:,全国大部分地区受来自海洋的夏季风影响，高温多雨;全国大部分地区受来自大陆的冬季风影响，寒冷少雨,包含
我国的农业生产:,全国普遍高温，农作物进入生长期，作物熟制自南向北由一年三熟逐渐过渡到两年三熟至一年一熟;北方大部分地区农作物处于越冬期，南方热带地区水热充足，可生产反季节蔬菜、瓜果,包含
气象灾害:,旱涝（华北春旱、长江伏旱）、暴雨、台风（表现：强风、暴雨、风暴潮）;寒潮、沙尘暴、干旱、暴雪,包含
地质灾害:,滑坡、泥石流较多;较少,包含
对流层的特点：,①随高度增加气温降低；②大气对流运动（12km）显著；③天气复杂多变。,包含
平流层的特点：,①随高度增加温度升高；②大气平稳，以水平运动为主，有利于高空飞行。,包含
大气的热力过程：,太阳辐射--地面增温--地面辐射--大气增温--大气（逆）辐射--大气保温,包含
主要的大气环境问题：,全球变暖（温室效应CO2）、臭氧层破坏（氟氯烃消耗O3）、酸雨（SO2、NO2）,包含
温室效应,①大量燃烧矿物燃料——大气中CO2增加——大气逆辐射增强,包含
温室效应,②滥砍滥伐森林——光合作用减弱——CO2相对增多——大气逆辐射增强,包含
温室效应,③大气逆辐射增强——温室效应——气温升高——全球热量带分布发生变化——经济结构发生调整（农业经济结构调整，中纬受损，高纬受益，使适宜种植业生产地域缩小，粮食减产。）,包含
温室效应,④极地冰山融化，沿海地区海海平面上升，沿海地区地下水水质变坏。,包含
绿化的环境效益：,①通过光合作用保持大气中O2和CO2的平衡，净化空气；,包含
绿化的环境效益：,②绿化植物和防护林可以调节气候、涵养水源、保持水土、防风固沙,包含
绿化的环境效益：,③城市绿地的作用是吸烟除尘、过滤空气、减轻污染、降低噪音、美化环境,包含
水循环：,①按其发生领域分为海陆间大循环、内陆循环和海上内循环。,包含
水循环：,②水循环的主要环节有：蒸发，水汽输送，降水，径流。,包含
水循环：,③它的重要意义在于：使淡水资源不断补充、更新，使水资源得以再生，维持全球水的动态平衡。,包含
陆地水体的相互关系：,①以雨水补给为主的的河流其径流的变化与降雨量变化一致：a地中海气候为主的河流，其流量冬季最大；b季风气候为主河流，流量夏季最大;c温带海洋性与热带雨林气候河流流量全年变化小；,包含
陆地水体的相互关系：,②以冰雪补给为主的河流其径流变化与气温关系密切：冰川融水补给为主的河流，其流量夏季最大.,包含
陆地水体的相互关系：,③河流水地下水之间可相互补给，湖泊对河流径流起调蓄作用。,包含
我国河流补给的差别：,①我国东部河流以降水补给为主（夏汛型，东北春季有积雪融水）,包含
我国河流补给的差别：,②我国西北地区河流以冰雪融水补给为主（夏汛型，冬季断流）,包含
海水等温线的判读：,①判断南北半球（越北越冷是北半球）,包含
海水等温线的判读：,②洋流流向和海水等温线凸出方向一致：高温流向低温是暖流，反之是寒流。,包含
影响海水温度因素,太阳辐射（收入）、蒸发（支出）、洋流,包含
洋流的形成:,定向风（地球上的风带）是形成洋流最基本的动力，风海流是最基本的洋流类型。,包含
洋流的分布（画一画右面洋流分布模式图）：,①中低纬度洋流圈北半球呈顺时针方向、南半球呈反时针方向。,包含
洋流的分布（画一画右面洋流分布模式图）：,②北半球中高纬逆时针方向洋流圈,包含
洋流的分布（画一画右面洋流分布模式图）：,③南半球40—60度海区形成西风漂流,包含
洋流的分布（画一画右面洋流分布模式图）：,④北印度洋形成季风洋流，冬季逆时针，夏季顺时针。,包含
洋流对地理环境的影响：,①影响气候（暖流—增温增湿，寒流—减温减湿）,包含
洋流对地理环境的影响：,②影响海洋生物—－渔场 ,包含
洋流对地理环境的影响：,③影响航海 ,包含
洋流对地理环境的影响：,④影响海洋污染,包含
世界主要渔场：,北海道、北海、纽芬兰渔场---寒暖流交汇；秘鲁渔场――上升流,包含
海洋渔业集中在大陆架的原因：,①这里阳光集中，生物光合作用强；,包含
海洋渔业集中在大陆架的原因：,②入海河流带来丰富的营养盐类，浮游生物繁盛，鱼饵丰富。,包含
海洋灾害是指源于海洋的自然灾害：,海啸和风暴潮。,包含
海洋环境问题指源于人类活动的海洋生态破坏：,海洋污染、海平面上升、赤潮,包含
地球的内部圈层：,地壳（地表到莫霍界面）、地幔（莫霍面—古登堡面）、地核（古登堡面以下）,包含
岩石圈范围,地壳和上地幔顶部（软流层之上）,包含
岩石成因分类：,岩浆岩（喷出岩和侵入岩）、沉积岩（层理构造、有化石）、变质岩。,包含
地壳物质循环：,岩浆冷却凝固→岩浆岩－外力→沉积岩－变质→变质岩－熔化→岩浆,包含
地质作用：,①内力作用（地壳运动、岩浆活动、地震、变质作用）,包含
地质作用：,②外力作用（风化、侵蚀、搬运、沉积、固结成岩）,包含
地质构造的类型：,褶皱（背斜、向斜），断层（上升岩块－地垒、下沉岩块－地堑）,包含
背斜成谷向斜成山的原因：,外力侵蚀（在外力侵蚀作用之前背斜成山、向斜成谷）背斜顶部受张力，容易被侵蚀成谷地；向斜槽部受到挤压，岩性坚硬不易被侵蚀反而成为山岭。,包含
地垒,庐山、泰山,包含
地堑,东非大裂谷、河平原和汾河谷地,包含
地质构造对人类生产活动的影响：,背斜（储油）、向斜（储水）、大型工程选址，应避开断层,包含
外力作用与常见地貌：,①流水侵蚀——沟谷、峡谷、瀑布、黄土高原的千沟万壑的地表、溶洞（喀斯特地貌）弯曲的河道--凹岸侵蚀，凸岸沉积（港口宜建在凹岸）,包含
外力作用与常见地貌：,②流水沉积——山麓冲积扇、河口三角洲、河流中下游冲积平原,包含
外力作用与常见地貌：,③风力侵蚀——风蚀沟谷、风蚀洼地、蘑菇石、风蚀柱、风蚀城堡等,包含
外力作用与常见地貌：,④风力沉积——沙丘、沙垄、沙漠边缘的黄土堆、黄土高原；,包含
陆地环境的整体性：,陆地环境各要素（大气、水、岩石、生物、土壤、地貌）的相互联系、相互制约和相互渗透，构成陆地环境的整体性。例如我国西北地区各环境要素都体现出干旱特征。,包含
陆地环境的地域差异有：,①由赤道到两极的地域分异（热量）---――-纬度地带性,包含
陆地环境的地域差异有：,②从沿海到内陆的地域分异（水分）---－-经度地带性,包含
陆地环境的地域差异有：,③山地的垂直地域分异（水分和热量）-－--垂直地带性,包含
影响山地垂直带谱的因素：,①山地所处的纬度；②山地的海拔；③阳坡、阴坡；④迎风、背风坡。,包含
影响雪线高低的因素(雪线是指冰雪存在的下限的海拔高度),一是0℃等温线的海拔（阳坡、阴坡）；二是降水量的大小（迎风、背风坡）,包含
非地带性因素：,海陆分布、地形起伏、洋流影响等。例如我国西北地区的绿洲。,包含
主要地质灾害：,地震、火山、滑坡和泥石流。,包含
两大地震带是：,环太平洋带、地中海——喜马拉雅带。我国多地震的原因是：我国位于两大地震带中。,包含
地质灾害的防御：,提高建筑物抗震强度；实施护坡工程，防止滑坡和崩塌；保护植被，改善生态环境；,包含
影响人口自然增长的因素：,自然增长率、出生率、死亡率、生产力水平（根本因素）,包含
人口发展模式：,原始型（“高高低”）：极高的死亡率，平均寿命短，极低的自然增长率，人口增长慢。,包含
人口发展模式：,传统型（“高低高”）：高出生率，低死亡率，高自然增长率（代表：尼日利亚）,包含
人口发展模式：,过渡型 死亡率低，出生率高但开始下降，人口压力大（代表：巴西）,包含
人口发展模式：,现代型（“三低”）：低出生率，低死亡率，低自然增长率，人口老龄化（代表：德国）,包含
人口发展模式地区分布：,全世界：属于“过渡型”，正处向“现代型”转变的阶段,包含
人口发展模式地区分布：,发达国家：“现代型”德国、匈牙利等负增长，美、加、澳、新西兰等国自然增长率稍高，日本等大多发达国家自然增长率接近零增长,包含
人口发展模式地区分布：,发展中国家：多为“过渡型”，但韩国、新加坡、古巴、乌拉圭、中国已进入或正要进入“现代型”。,包含
人口发展模式地区分布：,人口一亿以上的国家：中国、印度、美国、印尼、巴西、俄罗斯、日本、孟加拉国、尼日利亚、巴基斯坦,包含
人口增长模式与相应人口问题,①人口增长阶段 人口问题,包含
人口增长模式与相应人口问题,②承受人口经济压力最大的国家是儿童与老年人比重大的国家。,包含
人口增长模式与相应人口问题,③城市人口死亡率高于农村的原因：人口老龄化问题更突出,包含
发展中国家,增长减缓阶段－—过渡模式－－过渡型——人口压力大,包含
发达国家,低速增长阶段—－“低低低”模式——现代型－—人口老龄化，劳动力不足,包含
人口迁移迁出区：,发展中国家亚洲、非洲、拉丁美洲，我国的中西部地区、农村，发达国家的城市中心区。,包含
人口迁移迁入区：,发达国家西欧、北美、西亚（中东），我国的东部沿海地区、城市。,包含
环境人口容量：,即环境承载力，环境所能容纳的最大人口数。,包含
影响环境人口容量的因素,资源、人口消费水平、科技发展水平、地域开放程度,包含
合理人口容量,人口适度规模，一般要小于环境人口容量。,包含
城市化,①衡量城市化水平的最重要的指标是：城市人口占总人口的百分比,包含
城市化,②不同类型国家城市化的不同进程：,包含
城市化,③城市化过程中产生的问题：（根本原因：城市规模的无限制扩大、城市人口的过度集中）,包含
城市化,④城市化问题解决途径：（保护和改善城市环境措施）a.建立卫星城，开发新区；b.改善城市交通和居住条件；c.保护和治理城市环境；,包含
发达国家特点：,起步早；城市化水平高（70%以上）；发展趋缓，出现逆城市化现象(原因？),包含
发展中国家特点：,起步晚，发展快；城市化水平低（50%以下）；城市发展不合理（个别大城市畸形发展）,包含
区域工业化与城市化：,①工业化是推动城市化促进力量。,包含
区域工业化与城市化：,②我国区域城市化的典型模式有：珠三角模式――对外开放→吸引外资→工业化、城市化；,包含
温州模式,小商品经营→个私企业→工业化、城市化；,包含
苏南模式,大城市扩散→乡镇企业发展→工业化、城市化；,包含
功能区 ,地位 分布 特点,包含
商业区：,占地小，大多呈点状或条带状分布于市中心、交通干线两侧或街道路口，是城市经济活动最繁忙之地，人口数量昼夜差别很大，建筑物高大密集,包含
工业区：,占地较大，分布在最小风频的上风向、河流的下游，不断向市区外缘移动，趋向于沿主要交通干线分布,包含
住宅区：,占地最广，分布在最大风频的上风向、河流的上游，高级住宅区和低级住宅区背向发展,包含
城市等级,服务范围 职能种类 服务级别 城市数目 相互距离,包含
高级城市,大 多 高 少 远,包含
低级城市,小 少 低 多 近,包含
农业的分类：,①按生产对象分类：种植业、畜牧业、林业、渔业、副业,包含
农业的分类：,②按投入多少分类：粗放农业（靠天吃饭）；密集农业（劳动密集与资金密集型）,包含
农业的分类：,③按产品用途分类：自给农业；商品农业（考虑市场需求量，主要在发达国家和发展中国家的一些地区）,包含
农业的主要区位：,自然区位因素有：气候、地形、土壤、水源,包含
社会经济区位因素有：,市场、交通运输、政策,包含
农业地域类型：,①水稻种植业（自给农业，机械化水平低、商品率低、科技水平低、水利工程量大、单产高）,包含
农业地域类型：,②商品谷物农业（商品农业，生产规模大、机械化水平高、商品率高）,包含
农业地域类型：,③大牧场放牧业（地广人稀，交通便利）,包含
农业地域类型：,④乳畜业（靠近市场）,包含
农业地域类型：,⑤混合农业（对市场的适应性与灵活性）,包含
我国农业发展的制约因素与优势：,南方：水土流失（水热充沛） 华北：土地盐碱化、春旱、夏涝（光照充足）东北：热量不足（土壤肥沃、耕地面积广） 西北：水资源缺乏（光照充足）,包含
我国农作物分布：,①东耕西牧,包含
我国农作物分布：,②南蔗北菜,包含
我国农作物分布：,③南稻北麦（冬小麦—秋种夏收—华北平原，春小麦—春种秋收—东北平原）,包含
我国农作物分布：,④茶叶—气候湿润的酸性土壤（江南丘陵）,包含
我国农作物分布：,⑤温带水果---苹果、梨、桃,包含
我国农作物分布：,⑥商品粮生产基地：洞庭湖平原、鄱阳湖平原、江汉平原、苏皖北部平原、松嫩平原和三江平原、河西走廊、南疆、宁夏平原（太湖平原、成都平原、珠江三角洲已不再是商品粮基地）,包含
我国农作物分布：,⑦商品棉基地（热量充足、光照强）：江汉平原、长江下游滨海沿江平原、冀中南、鲁西北和豫北平原、黄淮平原及南疆等,包含
原料指向型工业：,甜菜或甘蔗制糖厂、水产品加工厂、水果罐头厂、新疆的纺织厂,包含
市场指向型工业：,啤酒厂、家具厂、印刷厂、饮料厂、食品厂、玻璃厂、欧美在中国建芯片厂（汽车厂）,包含
动力指向型工业：,炼铝厂、有色金属冶炼、火电厂、水电站,包含
廉价劳动力指向型工业：,纺织厂、普通服装厂、电子装配厂、包带、制伞、制鞋厂,包含
技术指向型工业：,集成电路（芯片）、卫星、飞机制造厂、精密仪表,包含
传统工业区（丰富的煤、铁资源）：,德国鲁尔区、美国东北部工业区、我国东北工业区。,包含
新兴工业区（企业规模小或技术水平高）：,意大利新兴工业区、美国的“硅谷”、日本的北九州等,包含
产业转移的原因,选择最佳区位（资源原料供给、劳动力素质、工资水平、市场需求、环境容量、国家政策），降低生产成本，扩大销售市场。发达国家工资水平不断提高、传统工业区环境压力日益沉重，发展中国家工资水平较低、基础设施和投资环境明显改善。,包含
产业转移的方向：,英国——德国——美国——日本——东南亚、拉丁美洲、我国沿海（进一步内地）,包含
产业转移的影响：,产业转移促进产业的国际分工与合作，促进区域产业结构调整和经济发展。,包含
促使发达国家向发展中国家设分厂的原因是：,廉价的劳动力、广阔的市场、低廉的地价。如跨国公司在中国建芯片生产厂、汽车厂，是因为中国拥有庞大的市场（不是因为中国的廉价劳动力和土地）。,包含
珠三角地区工业化得以迅速发展的原因：,①发达国家和地区产业转移的契机；,包含
珠三角地区工业化得以迅速发展的原因：,②对外开放的优惠政策；,包含
珠三角地区工业化得以迅速发展的原因：,③东南沿海、毗邻港澳台，靠近东南亚的优越位置；,包含
珠三角地区工业化得以迅速发展的原因：,④劳动力丰富廉价的优势条件；,包含
珠三角地区工业化得以迅速发展的原因：,⑤侨乡,包含
珠三角地区工业化过程中问题：,对外资吸引力下降，产业升级面临困难，发展后劲不足。,包含
珠三角地区工业化过程中问题：,①珠三角地区产业基础（轻工业为主）先天不足；,包含
珠三角地区工业化过程中问题：,②科研实力比不上长三角地区；,包含
珠三角地区工业化过程中问题：,③市场腹地不够广阔；,包含
珠三角地区工业化过程中问题：,④工资和地价水平提高；,包含
珠三角地区工业化过程中问题：,⑤城市基础设施建设相对滞后，生态环境问题日趋严重,包含
珠三角地区工业化过程中措施：,①调整产业结构，发展重工业和装备制造业；劳动密集型产业向电子信息产业升级。,包含
珠三角地区工业化过程中措施：,②加强各城市的分工与合作，构筑大珠三角洲城市群；,包含
珠三角地区工业化过程中措施：,③推动泛珠三角区域合作，实现优势互补、协调发展；,包含
珠三角地区工业化过程中措施：,④加强规划和管理，改善投资环境和生态环境。,包含
五种现代运输方式的特点,铁路：运量大、运速快、运价较低、连续性好；,包含
五种现代运输方式的特点,公路：灵活性好，但运量少，适于短途运输；,包含
五种现代运输方式的特点,水运：运量大、运价低，运速慢、灵活性和连续性差；,包含
五种现代运输方式的特点,管道：连续性好、运量大，投资大、灵活性差。,包含
五种现代运输方式的特点,空运：运速快，但运量小、运价高；,包含
港口区位：,①河港要布局在河宽水深（侵蚀岸一侧）地方；,包含
港口区位：,②海港要布局在水深（等高线密集处）、泥沙淤积少、风浪小、地形平坦处。,包含
商业中心区位：,①市场最优原则，要求位于城市的几何中心；,包含
商业中心区位：,②交通最优原则，要求位于市区环行路边缘或市区边缘的高速公路沿线。,包含
我国重要地理分界线：,1、秦岭—淮河:一月0°C等温线，800mm降水量线，湿润区与半湿润区，亚热带与暖温带、南方与北方、水田与旱地分界线,包含
我国重要地理分界线：,2、大兴安岭:400mm降水量线、半湿润与半干旱、农区与牧区、季风区与非季风区分界线。,包含
高原盆地,①青藏高原（冰川冻融地貌，光照强、热量不足，河谷农业）；,包含
高原盆地,②内蒙古高原（风力地貌，荒漠化）；,包含
高原盆地,③黄土高原（风力沉积、流水侵蚀地貌，水土流失）,包含
高原盆地,④云贵高原（流水溶蚀地貌，喀斯特地形、多峰林、溶洞，多地震、滑坡、泥石流等地质灾害）,包含
高原盆地,⑤塔里木盆地（风力地貌，光照强、温差大，水分不足，绿洲农业，荒漠化）,包含
高原盆地,⑥四川盆地（流水地貌，光照弱、热量足，紫色土）,包含
平原丘陵,①东北平原（地势平坦开阔，沃野千里）,包含
平原丘陵,②华北平原（旱涝、盐碱、风沙）,包含
平原丘陵,③长江中下游平原（湖泊淤积、恢复生态植被、退田还湖）,包含
平原丘陵,④江南丘陵（水土流失、红壤、红色荒漠）,包含
我国资源的分布：,①南方：水能、有色金属与铁；,包含
我国资源的分布：,②北方：煤、石油、铁；,包含
我国资源的分布：,③西北：石油、天然气；,包含
我国资源的分布：,④青藏：太阳能、地热能、水能,包含
资源跨区域调配,①原因：自然资源分布的不均衡与社会资源分布的地域差异,包含
资源跨区域调配,②水资源的跨流域调配——南水北调：③能源资源的跨区域调配——西气东输和西电东送、北煤南运。,包含
资源跨区域调配,④西气东输经过的自然带：温带荒漠带、温带草原带、温带落叶阔叶林、亚热带常绿阔叶林,包含
经过的气候区：,温带大陆性气候、温带季风气候、亚热带季风气候,包含
川气东输经过的自然带：,亚热带常绿阔叶林带,包含
西电东送：,a北路（火电为主）供应京津唐和华北；b中路（水电为主）供应华中、华东和长三角；c南路（水电为主）供应华南和珠三角,包含
河流开发,①流域治理—修大坝—拦洪蓄水—中下游流量季节变化减小、泥沙淤积量减少—海浪侵蚀作用增强,包含
河流开发,②田纳西河流域开发的核心是梯级开发（控制水位，疏通河道，治理洪涝）,包含
河流开发,a:――→防洪、灌溉、养殖――农、林、渔等第一产业水平提高,包含
