name,relation,subject
题目,包含,我国的河流:
题目,包含,我国的季风:
题目,包含,我国的农业生产:
题目,包含,气象灾害:
题目,包含,地质灾害:
题目,包含,对流层的特点：
题目,包含,平流层的特点：
题目,包含,大气的热力过程：
题目,包含,大气对太阳辐射的削弱作用：
题目,包含,太阳辐射（光照）与天气、地势关系：
题目,包含,大气的保温效应：
题目,包含,气温与天气：
题目,包含,气温的垂直分布：
题目,包含,气温的水平分布：
题目,包含,气温的水平分布：
题目,包含,气温的水平分布：
题目,包含,气温年较差：
题目,包含,气温年较差：
题目,包含,热力环流的性质特点
题目,包含,热力环流的性质特点
题目,包含,热力环流的性质特点
题目,包含,热力环流的性质特点
题目,包含,热力环流的性质特点
题目,包含,热力环流的性质特点
题目,包含,热力环流的性质特点
题目,包含,热力环流的性质特点
题目,包含,水平方向气压与气温：
题目,包含,风的形成：
题目,包含,旱涝灾害发生在春夏秋，影响到除西部一些沙漠地区外的全国范围，天气变化：
题目,包含,寒潮发生在秋末、冬季、初春，发源于蒙古、西伯利亚，影响到除青藏、云贵、海南外的广大地区，天气变化：
题目,包含,地球公转:
题目,包含,正午太阳高度:
题目,包含,昼夜长短:
题目,包含,等温线:
题目,包含,气压带、风带:
题目,包含,雪线:
题目,包含,北印度洋洋流:
题目,包含,我国的降水:
题目,包含,我国的河流:
题目,包含,我国的季风:
题目,包含,我国的农业生产:
题目,包含,气象灾害:
题目,包含,地质灾害:
题目,包含,对流层的特点：
题目,包含,平流层的特点：
题目,包含,大气的热力过程：
题目,包含,主要的大气环境问题：
题目,包含,温室效应
题目,包含,温室效应
题目,包含,温室效应
题目,包含,温室效应
题目,包含,绿化的环境效益：
题目,包含,绿化的环境效益：
题目,包含,绿化的环境效益：
题目,包含,水循环：
题目,包含,水循环：
题目,包含,水循环：
题目,包含,陆地水体的相互关系：
题目,包含,陆地水体的相互关系：
题目,包含,陆地水体的相互关系：
题目,包含,我国河流补给的差别：
题目,包含,我国河流补给的差别：
题目,包含,海水等温线的判读：
题目,包含,海水等温线的判读：
题目,包含,影响海水温度因素
题目,包含,洋流的形成:
题目,包含,洋流的分布（画一画右面洋流分布模式图）：
题目,包含,洋流的分布（画一画右面洋流分布模式图）：
题目,包含,洋流的分布（画一画右面洋流分布模式图）：
题目,包含,洋流的分布（画一画右面洋流分布模式图）：
题目,包含,洋流对地理环境的影响：
题目,包含,洋流对地理环境的影响：
题目,包含,洋流对地理环境的影响：
题目,包含,洋流对地理环境的影响：
题目,包含,世界主要渔场：
题目,包含,海洋渔业集中在大陆架的原因：
题目,包含,海洋渔业集中在大陆架的原因：
题目,包含,海洋灾害是指源于海洋的自然灾害：
题目,包含,海洋环境问题指源于人类活动的海洋生态破坏：
题目,包含,地球的内部圈层：
题目,包含,岩石圈范围
题目,包含,岩石成因分类：
题目,包含,地壳物质循环：
题目,包含,地质作用：
题目,包含,地质作用：
题目,包含,地质构造的类型：
题目,包含,背斜成谷向斜成山的原因：
题目,包含,地垒
题目,包含,地堑
题目,包含,地质构造对人类生产活动的影响：
题目,包含,外力作用与常见地貌：
题目,包含,外力作用与常见地貌：
题目,包含,外力作用与常见地貌：
题目,包含,外力作用与常见地貌：
题目,包含,陆地环境的整体性：
题目,包含,陆地环境的地域差异有：
题目,包含,陆地环境的地域差异有：
题目,包含,陆地环境的地域差异有：
题目,包含,影响山地垂直带谱的因素：
题目,包含,影响雪线高低的因素(雪线是指冰雪存在的下限的海拔高度)
题目,包含,非地带性因素：
题目,包含,主要地质灾害：
题目,包含,两大地震带是：
题目,包含,地质灾害的防御：
题目,包含,影响人口自然增长的因素：
题目,包含,人口发展模式：
题目,包含,人口发展模式：
题目,包含,人口发展模式：
题目,包含,人口发展模式：
题目,包含,人口发展模式地区分布：
题目,包含,人口发展模式地区分布：
题目,包含,人口发展模式地区分布：
题目,包含,人口发展模式地区分布：
题目,包含,人口增长模式与相应人口问题
题目,包含,人口增长模式与相应人口问题
题目,包含,人口增长模式与相应人口问题
题目,包含,发展中国家
题目,包含,发达国家
题目,包含,人口迁移迁出区：
题目,包含,人口迁移迁入区：
题目,包含,环境人口容量：
题目,包含,影响环境人口容量的因素
题目,包含,合理人口容量
题目,包含,城市化
题目,包含,城市化
题目,包含,城市化
题目,包含,城市化
题目,包含,发达国家特点：
题目,包含,发展中国家特点：
题目,包含,区域工业化与城市化：
题目,包含,区域工业化与城市化：
题目,包含,温州模式
题目,包含,苏南模式
题目,包含,功能区 
题目,包含,商业区：
题目,包含,工业区：
题目,包含,住宅区：
题目,包含,城市等级
题目,包含,高级城市
题目,包含,低级城市
题目,包含,农业的分类：
题目,包含,农业的分类：
题目,包含,农业的分类：
题目,包含,农业的主要区位：
题目,包含,社会经济区位因素有：
题目,包含,农业地域类型：
题目,包含,农业地域类型：
题目,包含,农业地域类型：
题目,包含,农业地域类型：
题目,包含,农业地域类型：
题目,包含,我国农业发展的制约因素与优势：
题目,包含,我国农作物分布：
题目,包含,我国农作物分布：
题目,包含,我国农作物分布：
题目,包含,我国农作物分布：
题目,包含,我国农作物分布：
题目,包含,我国农作物分布：
题目,包含,我国农作物分布：
题目,包含,原料指向型工业：
题目,包含,市场指向型工业：
题目,包含,动力指向型工业：
题目,包含,廉价劳动力指向型工业：
题目,包含,技术指向型工业：
题目,包含,传统工业区（丰富的煤、铁资源）：
题目,包含,新兴工业区（企业规模小或技术水平高）：
题目,包含,产业转移的原因
题目,包含,产业转移的方向：
题目,包含,产业转移的影响：
题目,包含,促使发达国家向发展中国家设分厂的原因是：
题目,包含,珠三角地区工业化得以迅速发展的原因：
题目,包含,珠三角地区工业化得以迅速发展的原因：
题目,包含,珠三角地区工业化得以迅速发展的原因：
题目,包含,珠三角地区工业化得以迅速发展的原因：
题目,包含,珠三角地区工业化得以迅速发展的原因：
题目,包含,珠三角地区工业化过程中问题：
题目,包含,珠三角地区工业化过程中问题：
题目,包含,珠三角地区工业化过程中问题：
题目,包含,珠三角地区工业化过程中问题：
题目,包含,珠三角地区工业化过程中问题：
题目,包含,珠三角地区工业化过程中问题：
题目,包含,珠三角地区工业化过程中措施：
题目,包含,珠三角地区工业化过程中措施：
题目,包含,珠三角地区工业化过程中措施：
题目,包含,珠三角地区工业化过程中措施：
题目,包含,五种现代运输方式的特点
题目,包含,五种现代运输方式的特点
题目,包含,五种现代运输方式的特点
题目,包含,五种现代运输方式的特点
题目,包含,五种现代运输方式的特点
题目,包含,港口区位：
题目,包含,港口区位：
题目,包含,商业中心区位：
题目,包含,商业中心区位：
题目,包含,我国重要地理分界线：
题目,包含,我国重要地理分界线：
题目,包含,高原盆地
题目,包含,高原盆地
题目,包含,高原盆地
题目,包含,高原盆地
题目,包含,高原盆地
题目,包含,高原盆地
题目,包含,平原丘陵
题目,包含,平原丘陵
题目,包含,平原丘陵
题目,包含,平原丘陵
题目,包含,我国资源的分布：
题目,包含,我国资源的分布：
题目,包含,我国资源的分布：
题目,包含,我国资源的分布：
题目,包含,资源跨区域调配
题目,包含,资源跨区域调配
题目,包含,资源跨区域调配
题目,包含,经过的气候区：
题目,包含,川气东输经过的自然带：
题目,包含,西电东送：
题目,包含,河流开发
题目,包含,河流开发
题目,包含,河流开发
题目,包含,河流开发
题目,包含,河流开发
题目,包含,山西煤炭资源的综合开发： 
题目,包含,山西煤炭资源的综合开发： 
题目,包含,山西煤炭资源的综合开发： 
题目,包含,荒漠化的防治
题目,包含,荒漠化的防治
题目,包含,荒漠化的防治
题目,包含,荒漠化的防治
题目,包含,荒漠化的防治
题目,包含,水土流失的主要原因：
题目,包含,水土流失的主要原因：
题目,包含,水土流失的危害：
题目,包含,治理措施：
题目,包含,工程措施
题目,包含,农业技术措施
题目,包含,热带雨林的开发与保护：
题目,包含,热带雨林的开发与保护：
题目,包含,热带雨林的开发与保护：
题目,包含,热带雨林的开发与保护：
题目,包含,地理信息技术
题目,包含,地理信息技术
题目,包含,地理信息技术
