scope,subject,relation
自然地理,洋流的分布（画一画右面洋流分布模式图）：,包含
自然地理,洋流对地理环境的影响：,包含
自然地理,世界主要渔场：,包含
自然地理,海洋渔业集中在大陆架的原因：,包含
自然地理,海洋灾害是指源于海洋的自然灾害：,包含
自然地理,海洋环境问题指源于人类活动的海洋生态破坏：,包含
自然地理,地球的内部圈层：,包含
自然地理,岩石圈范围,包含
自然地理,岩石成因分类：,包含
自然地理,地壳物质循环：,包含
自然地理,地质作用：,包含
自然地理,地质构造的类型：,包含
自然地理,背斜成谷向斜成山的原因：,包含
自然地理,地垒,包含
自然地理,地堑,包含
自然地理,地质构造对人类生产活动的影响：,包含
自然地理,外力作用与常见地貌：,包含
自然地理,陆地环境的整体性：,包含
自然地理,陆地环境的地域差异有：,包含
自然地理,影响山地垂直带谱的因素：,包含
自然地理,影响雪线高低的因素(雪线是指冰雪存在的下限的海拔高度),包含
自然地理,非地带性因素：,包含
自然地理,主要地质灾害：,包含
自然地理,两大地震带是：,包含
自然地理,地质灾害的防御：,包含
自然地理,影响人口自然增长的因素：,包含
自然地理,人口发展模式：,包含
自然地理,人口发展模式地区分布：,包含
自然地理,人口增长模式与相应人口问题,包含
自然地理,发展中国家,包含
自然地理,发达国家,包含
自然地理,人口迁移迁出区：,包含
自然地理,人口迁移迁入区：,包含
自然地理,环境人口容量：,包含
自然地理,影响环境人口容量的因素,包含
自然地理,合理人口容量,包含
自然地理,城市化,包含
自然地理,发达国家特点：,包含
自然地理,发展中国家特点：,包含
自然地理,区域工业化与城市化：,包含
自然地理,温州模式,包含
自然地理,苏南模式,包含
自然地理,功能区 ,包含
自然地理,商业区：,包含
自然地理,工业区：,包含
自然地理,住宅区：,包含
自然地理,城市等级,包含
自然地理,高级城市,包含
自然地理,低级城市,包含
自然地理,农业的分类：,包含
自然地理,农业的主要区位：,包含
自然地理,社会经济区位因素有：,包含
自然地理,农业地域类型：,包含
自然地理,我国农业发展的制约因素与优势：,包含
自然地理,我国农作物分布：,包含
自然地理,原料指向型工业：,包含
自然地理,市场指向型工业：,包含
自然地理,动力指向型工业：,包含
自然地理,廉价劳动力指向型工业：,包含
自然地理,技术指向型工业：,包含
自然地理,传统工业区（丰富的煤、铁资源）：,包含
自然地理,新兴工业区（企业规模小或技术水平高）：,包含
自然地理,产业转移的原因,包含
自然地理,产业转移的方向：,包含
自然地理,产业转移的影响：,包含
自然地理,促使发达国家向发展中国家设分厂的原因是：,包含
自然地理,珠三角地区工业化得以迅速发展的原因：,包含
自然地理,珠三角地区工业化过程中问题：,包含
自然地理,珠三角地区工业化过程中措施：,包含
自然地理,五种现代运输方式的特点,包含
自然地理,港口区位：,包含
自然地理,商业中心区位：,包含
自然地理,我国重要地理分界线：,包含
自然地理,高原盆地,包含
自然地理,平原丘陵,包含
自然地理,我国资源的分布：,包含
自然地理,资源跨区域调配,包含
自然地理,经过的气候区：,包含
自然地理,川气东输经过的自然带：,包含
自然地理,西电东送：,包含
自然地理,河流开发,包含
自然地理,山西煤炭资源的综合开发： ,包含
自然地理,荒漠化的防治,包含
自然地理,水土流失的主要原因：,包含
自然地理,水土流失的危害：,包含
自然地理,治理措施：,包含
自然地理,工程措施,包含
自然地理,农业技术措施,包含
自然地理,热带雨林的开发与保护：,包含
自然地理,地理信息技术,包含
